OrderID,OrderDate,Branch,FoodCategory,ItemName,Quantity,UnitPrice,DeliveryTimeMins,CustomerRating,DeliveryType,PaymentMode,CustomerAge,IsWeekend
ORD-001,2024-01-05,Mumbai,Biryani,Chicken Biryani,2,350,35,4.2,Home Delivery,UPI,28,No
ORD-002,2024-01-07,Delhi,Pizza,Margherita Pizza,1,280,25,4.5,Dine-in,Card,24,Yes
ORD-003,2024-01-12,Bangalore,South Indian,Masala Dosa,3,150,20,4.8,Takeaway,Cash,35,No
ORD-004,2024-01-14,Hyderabad,Chinese,Veg Fried Rice,2,220,30,3.9,Home Delivery,UPI,31,Yes
ORD-005,2024-01-20,Chennai,Snacks,Samosa Platter,4,120,15,4.3,Dine-in,Cash,22,No
ORD-006,2024-01-27,Pune,Desserts,Gulab Jamun,3,150,18,4.6,Takeaway,Card,27,Yes
ORD-007,2024-02-02,Mumbai,Pizza,Pepperoni Pizza,2,380,40,3.8,Home Delivery,UPI,29,No
ORD-008,2024-02-08,Delhi,Biryani,Mutton Biryani,1,420,45,4.1,Dine-in,Card,38,Yes
ORD-009,2024-02-14,Bangalore,Chinese,Chilli Paneer,2,280,28,4.4,Home Delivery,UPI,26,Yes
ORD-010,2024-02-17,Hyderabad,South Indian,Idli Vada,4,130,22,4.7,Takeaway,Cash,45,No
ORD-011,2024-02-22,Chennai,Biryani,Veg Biryani,2,280,38,3.7,Home Delivery,UPI,33,No
ORD-012,2024-02-25,Pune,Pizza,BBQ Chicken Pizza,1,450,42,4.0,Dine-in,Card,30,Yes
ORD-013,2024-03-05,Mumbai,South Indian,Rava Dosa,2,160,25,4.6,Dine-in,Cash,25,No
ORD-014,2024-03-10,Delhi,Snacks,Pani Puri,5,80,10,4.9,Dine-in,Cash,21,Yes
ORD-015,2024-03-15,Bangalore,Biryani,Prawn Biryani,1,480,40,4.3,Home Delivery,Card,34,No
ORD-016,2024-03-17,Hyderabad,Desserts,Kheer,2,120,20,4.5,Dine-in,Cash,42,Yes
ORD-017,2024-03-22,Chennai,Chinese,Hakka Noodles,3,200,32,4.1,Home Delivery,UPI,28,No
ORD-018,2024-03-29,Pune,Biryani,Chicken Biryani,3,340,38,4.0,Home Delivery,UPI,36,No
